Common name,Taxonomy,Size,Remarks,Tank size,Temperature range,pH range,GH,KH,Nitrate,Dissolved Oxygen
Brown-Point Shield Skin,Aspidoras fuscoguttatus,,,30 Gallons,22–25 °C (72–77 °F),5.5–6.8,,,,
,,3.8cm (1.5in),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Aspidoras Cory-Cat,Aspidoras lakoi,4 cm (1.6 in),,28 Gallons,22–25 °C (72–77 °F),,,,,
Loach catfish,Aspidoras rochai,4 cm (1.6 in) maximum length,,20 Gallons,21 - 25 degrees Celsius,6.0-7.5,,,,
"Sixray corydoras, false corydoras",Aspidoras pauciradiatus,2.9 cm (1.1 in),,20 Gallons,73–82 °F (23–28 °C),6.0-7.2,,,,
Britski's catfish,Brochis britskii,8.9 cm (3.5 in),,,20–24 °C (68–75 °F),6.5-7.2,,,,
Emerald catfish,Brochis splendens,10 cm (3.9 in),The Emerald Cory Catfish is a very hardy and resilient fish.  Disease should not be a concern provided that you maintain the aquarium to standards.,20 Gallons,72 - 82 F (22 - 27.7 C),5.8-8.0,,,,
Hognosed brochis,Brochis multiradiatus,6.6 cm (2.6 in),,,70-75 °F (21-24 °C),6.0-7.2,,,,
Adolfo's catfish/corydoras,Corydoras adolfoi,5.7 cm (2.2 in),,,72–79 °F (22–26 °C),6.0-7.0,,,,
Banded corydoras,Scleromystax barbatus,10 cm (3.9 in),,,68 °F (20 °C) to 82 °F (28 °C),6.0–8.0,,,,
"Masked corydoras, bandit corydoras",Corydoras metae,4.8 cm (1.9 in),,,72–79 °F (22–26 °C),6.0-7.0,,,,
Barred-tail corydoras,Corydoras cochui,2.5 cm (0.98 in),,,70-75º F,6.0 - 7.0,,,,
Blackstripe corydoras,Corydoras bondi,4.7 cm (1.9 in),,,,,,,,
Blacktop corydoras,Corydoras acutus,4.4 cm (1.7 in),,,,,,,,
Blue corydoras,Corydoras nattereri,5.4 cm (2.1 in),,,,,,,,
Bluespotted corydoras,Corydoras melanistius,5.1 cm (2.0 in),,,,,,,,
"Bronze corydoras, Emerald green cory",Corydoras aeneus,6.35 cm (2.50 in),,,77 to 82 °F (25 to 28 °C),,,,,
Caracha,Corydoras atropersonatus,4.5 cm (1.8 in),,,,,,,,
Ehrhardt's corydoras,Corydoras ehrhardti,4.1 cm (1.6 in),,,,,,,,
Evelyn's cory,Corydoras evelynae,4 cm (1.6 in),,,,,,,,
,Corydoras geoffroy,7 cm (2.8 in),,,,,,,,
,Corydoras latus,5.2 cm (2.0 in),,,,,,,,
Loxozonus cory,Corydoras loxozonus,4.9 cm (1.9 in),,,,,,,,
Corydoras nain,Corydoras nanus,4.5 cm (1.8 in),,,,,,,,
Long nosed arched cory,Corydoras narcissus,6.5 cm (2.6 in),,,,,,,,
,Corydoras ornatus,4.9 cm (1.9 in),,,,,,,,
,Corydoras osteocarus,4 cm (1.6 in),,,,,,,,
,Corydoras polystictus,3.2 cm (1.3 in),,,,,,,,
,Scleromystax prionotos,5.3 cm (2.1 in),,,,,,,,
,Corydoras semiaquilus,6.0 cm (2.4 in),,,,,,,,
,Corydoras septentrionalis,4.9 cm (1.9 in),,,,,,,,
,Corydoras simulatus,4.9 cm (1.9 in),,,,,,,,
,Corydoras undulatus,4.4 cm (1.7 in),,,,,,,,
Dwarf corydoras,Corydoras hastatus,3.5 cm (1.4 in),,,,,,,,
Elegant corydoras,Corydoras elegans,5.1 cm (2.0 in),,,,,,,,
False network catfish,Corydoras sodalis,4.9 cm (1.9 in),,,,,,,,
False spotted catfish,Corydoras leucomelas,4.5 cm (1.8 in),,,,,,,,
Gold laser cory,Corydoras melanotaenia,5.8 cm (2.3 in),,,,,,,,
Guapore corydoras,Corydoras guapore,4.1 cm (1.6 in),,,,,,,,
"Mosaic corydoras, reticulated corydoras",Corydoras haraldschultzi,5.9 cm (2.3 in),,,,,,,,
"Mosaic corydoras, reticulated corydoras",Corydoras reticulatus,5.1–6.1 cm (2.0–2.4 in),,,,,,,,
Panda corydoras,Corydoras panda,3.8–5.1 cm (1.5–2.0 in),,,,6.0-8.0,,,,
Pastaza corydoras,Corydoras pastazensis,6.4–7.1 cm (2.5–2.8 in),,,,,,,,
"Peppered corydoras, salt and pepper catfish",Corydoras paleatus,5.1–7.6 cm (2.0–3.0 in),,,,,,,,
Pink corydoras,Corydoras axelrodi,4–5 cm (1.5–2 in),,,,,,,,
Pygmy corydoras,Corydoras pygmaeus,2.5–3.3 cm (0.98–1.30 in),"A very peaceful species, that does not make an ideal community fish due to its small adult size. It is easily intimidated by larger tank mates and will not compete well with them for food. ",42.4 L (11 gal),72 to 79°F (22 to 26°C),6.4 to 7.4,,,,
Sailfin corydoras,Scleromystax macropterus,,,,,,,,,
Salt and pepper catfish/corydoras,Corydoras habrosus,2.5–3.6 cm (0.98–1.42 in),,,,,,,,
Schwartz's catfish,Corydoras schwartzi,3.8–5.1 cm (1.5–2.0 in),,,,,,,,
"Spotted corydoras, longnose corydoras",Corydoras ambiacus,5.1–6.1 cm (2.0–2.4 in),,,,,,,,
Sterba's corydoras,Corydoras sterbai,6.8 cm (2.7 in),,,,,,,,
Sychr's catfish,Corydoras sychri,,,,,,,,,
Tailspot corydoras,Corydoras caudimaculatus,4–5 cm (1.5–2 in),,,,,,,,
"Threestripe corydoras, leopard catfish, false julii cory",Corydoras trilineatus,6.1 cm (2.4 in),,,,,,,,
Xingu corydoras,Corydoras xinguensis,3.8–5.1 cm (1.5–2.0 in),,,,,,,,
Julii corydoras,Corydoras julii,5.1–6.4 cm (2.0–2.5 in),,,,,,,,
Flagtail catfish,Dianema urostriatum,12.5 centimetres (4.9 in),,,77–82 °F (25–28 °C),6.0-8.0,,,,
Cascarudo,Callichthys callichthys,20 cm (7.9 in),,,64–83 °F (18–28 °C).,5.8-8.3,,,,
Spotted hoplo,Megalechis thoracata,15 cm (5.9 in),,,64–83 °F (18–28 °C).,8-Jun,,,,
